"state","county","countystate","cw1972","isenNA","flag","PNAScount","PNASyears","DATAyears"
"New Jersey","Bergen",,"Primary nonattainment","Nonattainment","Isen",,,
"New Jersey","Monmouth",,"Primary nonattainment","Attainment","Isen",,,
"New Jersey","Morris",,"Primary nonattainment","Attainment","Isen",,,
"New Jersey","Somerset",,"Primary nonattainment","Attainment","Isen",,,
"Oregon","Clackamas",,"Primary nonattainment","Attainment","Isen",,,
"Oregon","Coos",,"Primary nonattainment","Attainment","Isen",,,
"Oregon","Douglas",,"Primary nonattainment","Attainment","Isen",,,
"Oregon","Klamath",,"Secondary nonattainment","Attainment","Isen",,,
"Oregon","Lane",,"Primary nonattainment","Nonattainment","Isen",,,2
"Oregon","Marion",,"Primary nonattainment","Attainment","Isen",,,
"South Carolina","Aiken",,"Primary nonattainment","Attainment","Isen",,,4
"South Carolina","Florence",,"Attainment","Attainment","Isen",,,4
"South Carolina","Georgetown",,"Primary nonattainment","Nonattainment","Isen",,,5
"South Carolina","Greenwood",,"Attainment","Attainment","Isen",,,
"South Carolina","Lancaster",,"Primary nonattainment","Nonattainment","Isen",,,
"South Carolina","Spartanburg",,"Primary nonattainment","Nonattainment","Isen",,,
"South Carolina","York",,"Primary nonattainment","Attainment","Isen",,,3
"Virginia","Alexandria City",,"Primary nonattainment","Nonattainment","Isen",,,
"Virginia","Fairfax City",,"Primary nonattainment","Attainment","Isen",,,
"Virginia","Falls Church City",,"Primary nonattainment","Attainment","Isen",,,
"Virginia","Hopewell City",,"Primary nonattainment","Nonattainment","Isen",,,
"Virginia","Prince George",,"Primary nonattainment","Nonattainment","Isen",,,
"Virginia","Wythe",,"Primary nonattainment","Attainment","Isen",,,9
"Washington","Clark",,"Primary nonattainment","Nonattainment","Isen",,,
"Washington","Snohomish",,"Primary nonattainment","Attainment","Isen",,,
"Wisconsin","Douglas",,"Primary nonattainment","Nonattainment","Isen",,,10
"Alabama","Etowah","Etowah, Alabama",,,"PNAS",793,11,9
"Alabama","Jefferson","Jefferson, Alabama",,,"PNAS",5385,11,10
"Alabama","Madison","Madison, Alabama",,,"PNAS",3244,11,10
"Alabama","Mobile","Mobile, Alabama",,,"PNAS",2694,11,8
"Alabama","Montgomery","Montgomery, Alabama",,,"PNAS",1483,11,8
"Alaska","Anchorage","Anchorage, Alaska",,,"PNAS",2617,11,10
"Alaska","Fairbanks North Star","Fairbanks North Star, Alaska",,,"PNAS",621,11,10
"Arizona","Cochise","Cochise, Arizona",,,"PNAS",844,10,9
