"FIPS","Year","Pop"
"01043",1974,57728
"01043",1975,58084
"01043",1976,59684
"01043",1977,60381
"01043",1978,61080
"01043",1979,61468
"01043",1980,61790
"01043",1981,62040
"01045",1969,53302
"01045",1970,53302
"01045",1971,54554
"01045",1972,49458
"01045",1973,43865
"01045",1974,44378
"01045",1975,46071
"01045",1976,44855
"01045",1977,44651
"01045",1978,46663
"01045",1979,46381
"01045",1980,48003
"01045",1981,48623
"01047",1969,55426
"01047",1970,55426
"01047",1971,55939
"01047",1972,57136
"01047",1973,57293
"01047",1974,58344
"01047",1975,58398
"01047",1976,58212
"01047",1977,58178
"01047",1978,54713
"01047",1979,54453
"01047",1980,53896
"01047",1981,53762
"01049",1969,42316
"01049",1970,42316
"01049",1971,43654
"01049",1972,44798
"01049",1973,46722
"01049",1974,47904
"01049",1975,49984
"01049",1976,51191
"01049",1977,52023
"01049",1978,53109
"01049",1979,53490
"01049",1980,53833
"01049",1981,54267
"01051",1969,33689
"01051",1970,33689
"01051",1971,33844
"01051",1972,35347
"01051",1973,36522
"01051",1974,37953
"01051",1975,39662
"01051",1976,39693
"01051",1977,40499
"01051",1978,41381
"01051",1979,43035
"01051",1980,43472
"01051",1981,43731
"01053",1969,34973
"01053",1970,34973
"01053",1971,35213
"01053",1972,36511
"01053",1973,36921
"01053",1974,37093
"01053",1975,38349
"01053",1976,37611
"01053",1977,37509
"01053",1978,37560
"01053",1979,37924
"01053",1980,38256
"01053",1981,37563
"01055",1969,94285
"01055",1970,94285
"01055",1971,94897
"01055",1972,95761
"01055",1973,96076
"01055",1974,96584
"01055",1975,97940
"01055",1976,98975
"01055",1977,100162
"01055",1978,101721
"01055",1979,102932
"01055",1980,103135
"01055",1981,103139
"01057",1969,16218
"01057",1970,16218
"01057",1971,16105
"01057",1972,16403
"01057",1973,16542
"01057",1974,17085
"01057",1975,17355
"01057",1976,17389
"01057",1977,17479
"01057",1978,17780
"01057",1979,18317
"01057",1980,18851
"01057",1981,18975
"01059",1969,24065
"01059",1970,24065
"01059",1971,24624
"01059",1972,25533
"01059",1973,26022
"01059",1974,26832
"01059",1975,26828
"01059",1976,27209
"01059",1977,27746
"01059",1978,27917
"01059",1979,28819
"01059",1980,28346
"01059",1981,28190
"01061",1969,21967
"01061",1970,21967
"01061",1971,22180
"01061",1972,22783
"01061",1973,22691
"01061",1974,22743
"01061",1975,23187
"01061",1976,23234
"01061",1977,23399
"01061",1978,23553
"01061",1979,23908
"01061",1980,24202
"01061",1981,23902
"01063",1969,10570
"01063",1970,10570
"01063",1971,10286
"01063",1972,10221
"01063",1973,10574
"01063",1974,10648
"01063",1975,10733
"01063",1976,10994
"01063",1977,10824
"01063",1978,10962
"01063",1979,10852
"01063",1980,11017
"01063",1981,11081
"01065",1969,15817
"01065",1970,15817
"01065",1971,15596
"01065",1972,15763
"01065",1973,15880
"01065",1974,15606
"01065",1975,15722
"01065",1976,15738
"01065",1977,15746
"01065",1978,15698
"01065",1979,15922
"01065",1980,15584
"01065",1981,15571
"01067",1969,13283
"01067",1970,13283
"01067",1971,13452
"01067",1972,13514
"01067",1973,13677
"01067",1974,14100
"01067",1975,14261
"01067",1976,14592
"01067",1977,14724
"01067",1978,14925
"01067",1979,15019
"01067",1980,15319
"01067",1981,15435
"01069",1969,56959
"01069",1970,56959
"01069",1971,58515
"01069",1972,61563
"01069",1973,64027
"01069",1974,68531
"01069",1975,70595
"01069",1976,71938
"01069",1977,72839
"01069",1978,74286
"01069",1979,74690
"01069",1980,74983
"01069",1981,76238
"01071",1969,39493
"01071",1970,39493
"01071",1971,40675
"01071",1972,42254
"01071",1973,43130
"01071",1974,45161
"01071",1975,47013
"01071",1976,48061
"01071",1977,49698
"01071",1978,51000
"01071",1979,51608
"01071",1980,51449
"01071",1981,51381
"01073",1969,645955
"01073",1970,645955
"01073",1971,649808
"01073",1972,647097
"01073",1973,650634
"01073",1974,648789
"01073",1975,655336
"01073",1976,661297
"01073",1977,663600
"01073",1978,667403
"01073",1979,671697
"01073",1980,670615
"01073",1981,667795
"01075",1969,14404
"01075",1970,14404
"01075",1971,14685
"01075",1972,15491
"01075",1973,15408
"01075",1974,15821
"01075",1975,16005
"01075",1976,16068
"01075",1977,16053
"01075",1978,16129
"01075",1979,16194
"01075",1980,16453
"01075",1981,16422
"01077",1969,68520
"01077",1970,68520
"01077",1971,70161
"01077",1972,70867
"01077",1973,72286
"01077",1974,73357
"01077",1975,74355
"01077",1976,75824
"01077",1977,77077
"01077",1978,78542
"01077",1979,80468
"01077",1980,80771
"01077",1981,81380
"01079",1969,27300
"01079",1970,27300
"01079",1971,27417
"01079",1972,28429
"01079",1973,28017
"01079",1974,28665
"01079",1975,28599
"01079",1976,29202
"01079",1977,29608
"01079",1978,30090
"01079",1979,30271
"01079",1980,30201
"01079",1981,30237
"01081",1969,61390
"01081",1970,61390
"01081",1971,61883
"01081",1972,62154
"01081",1973,64578
"01081",1974,68821
"01081",1975,69373
"01081",1976,69975
"01081",1977,71857
"01081",1978,74068
"01081",1979,75986
"01081",1980,76617
"01081",1981,77776
"01083",1969,41744
"01083",1970,41744
"01083",1971,41960
"01083",1972,43255
"01083",1973,43466
"01083",1974,43538
"01083",1975,44039
"01083",1976,44407
"01083",1977,44494
"01083",1978,44931
"01083",1979,44997
"01083",1980,45996
"01083",1981,45845
"01085",1969,12958
"01085",1970,12958
"01085",1971,13249
"01085",1972,13726
"01085",1973,13788
"01085",1974,13762
"01085",1975,13422
"01085",1976,13543
"01085",1977,13834
"01085",1978,13914
"01085",1979,13338
"01085",1980,13204
"01085",1981,13098
"01087",1969,24923
"01087",1970,24923
"01087",1971,25273
"01087",1972,25597
"01087",1973,25550
"01087",1974,25699
"01087",1975,26228
"01087",1976,26724
"01087",1977,27048
"01087",1978,27013
"01087",1979,26578
"01087",1980,26734
"01087",1981,26569
"01089",1969,186939
"01089",1970,186939
"01089",1971,188549
"01089",1972,189077
"01089",1973,189794
"01089",1974,188343
"01089",1975,188148
"01089",1976,190233
"01089",1977,192448
"01089",1978,193160
"01089",1979,194950
"01089",1980,197614
"01089",1981,199934
"01091",1969,23722
"01091",1970,23722
"01091",1971,23400
"01091",1972,24275
"01091",1973,24210
"01091",1974,24269
"01091",1975,24634
"01091",1976,25202
"01091",1977,25396
"01091",1978,25430
"01091",1979,25277
"01091",1980,24958
"01091",1981,24692
"01093",1969,24110
"01093",1970,24110
"01093",1971,25443
"01093",1972,26319
"01093",1973,27165
"01093",1974,28131
"01093",1975,28533
"01093",1976,28625
"01093",1977,29104
"01093",1978,29492
"01093",1979,29836
"01093",1980,30130
"01093",1981,30337
"01095",1969,54543
"01095",1970,54543
